Tool ID,Tool name as specified in config file,Tool name as specified in game object,Tool default handle orientation,Tool pivot point offset from Tool bottom center point X,Tool pivot point offset from Tool bottom center point Y,Tool pivot point offset from Tool bottom center point Z,Tool bounding box of entire mesh Center-X,Tool bounding box of entire mesh Center-Y,Tool bounding box of entire mesh Center-Z,Tool bounding box of entire mesh Extents-X,Tool bounding box of entire mesh Extents-Y,Tool bounding box of entire mesh Extents-Z,Tool Handle Collider bounding box Center-X,Tool Handle Collider bounding box Center-Y,Tool Handle Collider bounding box Center-Z,Tool Handle Collider bounding box Extents-X,Tool Handle Collider bounding box Extents-Y,Tool Handle Collider bounding box Extents-Z,Tool Effector Collider bounding box Center-X,Tool Effector Collider bounding box Center-Y,Tool Effector Collider bounding box Center-Z,Tool Effector Collider bounding box Extents-X,Tool Effector Collider bounding box Extents-Y,Tool Effector Collider bounding box Extents-Z,Total number of Colliders,Total number of Tool Hand Attachment Points SteamVR,Total number of Tool Hand Attachment Points LeapMotion
10,spatula,Spatula,Right,0.000000000000,0.008054802000,-0.058947090000,0.000000000000,0.012974290000,0.058947090000,0.047053490000,0.021029090000,0.185666000000,0.000000000000,0.012974230000,0.172809200000,0.089111720000,0.063087340000,0.113862100000,0.000000000000,0.012974300000,-0.054915050000,0.089111720000,0.063087340000,0.113862100000,5,4,2
11,flowercutter,Flowercutter,Right,0.000000000000,0.021709900000,0.000000000000,0.000000000000,-0.008760485000,0.000000000000,0.029700000000,0.012949410000,0.197999900000,0.000000000000,-0.008760486000,0.111949400000,0.055598830000,0.038848240000,0.111949400000,0.000000000000,-0.008760486000,-0.111949400000,0.055598830000,0.038848240000,0.111949400000,4,4,3
12,fishscaler,Fishscaler,Right,0.000000000000,0.019200000000,0.098763230000,0.000000000000,0.020303560000,-0.098763230000,0.019200000000,0.039503560000,0.203403200000,0.000000000000,0.020303550000,0.022138390000,0.057600000000,0.077903550000,0.120901600000,0.000000000000,0.020303550000,-0.219664800000,0.057600000000,0.077903550000,0.120901600000,6,4,3
13,paintbrush,Paintbrush,Right,0.000058911740,0.001422495000,0.002394527000,-0.000058911740,0.014028320000,-0.002394527000,0.071824180000,0.015450810000,0.173994500000,-0.000058911740,0.014028310000,0.100053600000,0.102725800000,0.046352430000,0.102448100000,-0.000058911740,0.014028310000,-0.104842600000,0.102725800000,0.046352430000,0.102448100000,4,4,4
14,paletteknife,Paletteknife,Right,0.000000003725,0.014222640000,0.005425766000,-0.000000003725,0.000000000000,-0.005425766000,0.028445280000,0.014222640000,0.154123800000,-0.000000003725,0.000000000000,0.085858730000,0.056890540000,0.042667910000,0.091284480000,-0.000000003725,0.000000000000,-0.096710250000,0.056890540000,0.042667910000,0.091284480000,6,4,3
15,screwdriver,Screwdriver,Right,0.001128679000,0.021166730000,-0.167417200000,-0.001128679000,0.004427247000,0.167417200000,0.025993140000,0.025593970000,0.167089500000,-0.001128674000,0.004427239000,0.276555600000,0.077181120000,0.076781950000,0.109138800000,-0.001128674000,0.004427239000,0.058278080000,0.077181120000,0.076781950000,0.109138800000,4,4,3
16,trowel,Trowel,Left,0.000000000000,0.022105760000,0.000597387600,0.000000000000,0.000000000000,-0.000597387600,0.048932140000,0.022105760000,0.217506600000,0.000000000000,0.000000000000,-0.131456500000,0.093143660000,0.066317320000,0.130859100000,0.000000000000,0.000000000000,0.130261700000,0.093143660000,0.066317320000,0.130859100000,5,4,3
17,spokewrench,Spokewrench,Right,0.006780785000,0.046581650000,-0.099298720000,-0.006780785000,-0.001581650000,0.099298720000,0.054000040000,0.045000000000,0.140153600000,-0.006780773000,-0.001581639000,0.214375600000,0.144000200000,0.135000100000,0.115076900000,-0.006780803000,-0.001581669000,-0.015778170000,0.144000200000,0.135000100000,0.115076900000,6,4,4
18,daisygrubber,Daisygrubber,Left,-0.000000040978,0.017072390000,-0.057869760000,0.000000040978,-0.000000040978,0.057869760000,0.017072350000,0.017072350000,0.193848800000,0.000000040978,-0.000000040978,-0.056126980000,0.051217070000,0.051217070000,0.113996700000,0.000000040978,-0.000000040978,0.171866500000,0.051217070000,0.051217070000,0.113996700000,4,4,3
19,wrench,Wrench,Right,0.000282444100,0.008685503000,-0.001675159000,-0.000282444100,0.000004672445,0.001675159000,0.031833280000,0.008690176000,0.131443700000,-0.000282444100,0.000004673377,0.076087240000,0.049213650000,0.026070530000,0.074412080000,-0.000282444100,0.000004673377,-0.072736890000,0.049213650000,0.026070530000,0.074412080000,4,4,4
20,zester,Zester,Left,0.000000000000,0.015905680000,0.059457600000,0.000000000000,0.003612859000,-0.059457600000,0.029454960000,0.019518540000,0.173645300000,0.000000000000,0.003612857000,-0.165798800000,0.068492030000,0.058555610000,0.106341200000,0.000000000000,0.003612857000,0.046883570000,0.068492030000,0.058555610000,0.106341200000,5,4,3
21,fork,Fork,Right,0.001548193000,0.004558544000,0.028224540000,-0.001548193000,0.005614589000,-0.028224540000,0.021458000000,0.010173130000,0.140981700000,-0.001548193000,0.005614592000,0.052439490000,0.041804270000,0.030519410000,0.080664020000,-0.001548193000,0.005614584000,-0.108888600000,0.041804270000,0.030519410000,0.080664010000,8,4,2
99,practicehammer,PracticeHammer,Left,0.003330514000,0.019764720000,-0.128978300000,-0.003330514000,0.000604566200,0.128978300000,0.069658200000,0.020369280000,0.132895200000,-0.003330521000,0.000604566200,0.052345800000,0.090027590000,0.040738610000,0.076632280000,-0.003330521000,0.000604566200,0.205610400000,0.090027590000,0.040738610000,0.076632280000,4,4,4
